Axio,,2,A,Normal,Familie,Brett,6.8,2017,1,4,30,45,8,1.61,,,,https://boardgamegeek.com/boardgame/219475/axio
Azul,,5,A,Normal,Familie,Tableau,7.7,2017,2,4,30,45,8,1.77,,,,https://boardgamegeek.com/boardgame/230802/azul
Azul Duell,,2,A,Zwei,Strategie,Tableau,7,2025,2,2,30,45,10,2.36,,,,https://boardgamegeek.com/boardgame/431038/azul-duel
Azul: Die Gärten der Königin,,2,A,Normal,Familie,Tableau,7.5,2021,2,4,45,60,10,2.94,,,,https://boardgamegeek.com/boardgame/346965/azul-queens-garden
Azul: Master Chocolatier ,,3,A,Normal,Familie,Tableau,7.9,2022,2,4,30,45,8,1.8,,,,https://boardgamegeek.com/boardgame/363247/azul-master-chocolatier
Die Legenden von Andor: Chada & Thorn,,2,A,Zwei,Strategie,Karten,6.6,2015,2,2,45,45,10,2.16,x,,,https://boardgamegeek.com/boardgame/177079/die-legenden-von-andor-chada-and-thorn
Disney Around the World,,1,A,Kind,Familie,Brett,5.4,2023,2,4,15,15,4,1,,,,https://boardgamegeek.com/boardgame/380139/disney-around-the-world
Eine Stadt für Amytis,,1,A,Zwei,Familie,Tableau,7,2024,2,2,30,30,10,2,,,,https://boardgamegeek.com/boardgame/415910/the-architects-of-amytis
Meine ersten Spiele: Ab ins Bett!,,1,A,Kind,Familie,Plättchen,6.1,2016,1,3,10,10,2,2,,,,https://boardgamegeek.com/boardgame/269620/my-very-first-games-off-to-bed
Mystery Games: Der Ausbruch aus Arazar,,2,A,Normal,Rätsel,Brett,7.1,2023,2,4,60,120,12,1.8,x,,,https://boardgamegeek.com/boardgame/368957/mystery-games-der-ausbruch-aus-arazar
The Academy,,3,A,Karten,Familie,Karten,6.2,2023,3,4,30,30,10,2,,,,https://boardgamegeek.com/boardgame/394890/the-academy
Wie Arsch auf Eimer,,3,A,Karten,Party,Karten,6.8,2025,3,8,20,20,8,1,,,,https://boardgamegeek.com/boardgame/445054/wie-arsch-auf-eimer
A Battle through History,,1,B,Normal,Strategie,Brett,7,2022,2,5,90,120,14,2.57,,,,https://boardgamegeek.com/boardgame/349042/a-battle-through-history
